PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y, Q (m s.l.m.),NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03
BS,BAGNOLO MELLA - ASM,5,via Montegrappa,1593133,5030861,86,,,1,,,,,,83,,82.8,83.66,,,,,,80.75,82,81.7,,81.6,81.6,,,,,,81.7,,,
BS,MONTIRONE - ASM,23,via Mercanti,1596004,5033224,100.8,,,1,,,,,,94,92.8,92.7,92.8,,,,,93.2,93.3,92.7,92.4,92.85,92,92.05,93.6,93.97,,,,93.95,,,
BS,GHEDI - ARPA,16,VIA CARAVAGGIO,1600058,5027965,80.5,,,,,,,,,,78.31,,,,,,,,,,,,,,,,,,,,,,
BS,MONTICHIARI - ASM,45,Loc. Ro',1606700,5031100,104.85,,X,,,,,,,89.6,90,90,90.15,,,,,85.3,84.7,84.1,84.2,85.1,85.3,86.1,87.8,88,,,,87.95,,,
BS,MONTICHIARI - ASM,21,Vighizzolo Nuovo,1606945,5033055,120.5,,,2,,,,,,93.9,94,94.6,95.1,,,,,88.8,88.1,87.5,87.4,88.4,89,90,91.8,92,,,,91.4,,,
BS,CARPENEDOLO - ARPA,9,P. LAMETTA VIA ERCOLIANI,1612731,5025701,80.3,,,,,,,,,,77.92,,78.83,,,,,,,,,,,,,,,,,,,,
BS,OFFLAGA - ASM,25,Cignano,1586697,5025513,73,,,2,,,,,,67.45,63.4,,65.55,,,,,,67.46,,,,65.48,,67.4,67.62,,,,67.76,,,
BS,LENO - ARPA,18,VIA VIGANOVO 2,1596681,5025535,70.25,,,,,,,,,,,69.97,,,,,,,,,,,,,,,,,,,,,
BS,PAVONE DEL MELLA - ASM,26,VIA GIOVANNI XXIII,1594740,5016924,54,,,,,,,,,47.8,,,,,,,,,,,,,,,,,,,,,,,
BS,ISORELLA - ASM,17,P.ZA IV NOVEMBRE,1604050,5018573,57,,,,,,,,,54.07,,,,,,,,,,,,,,,,,,,,,,,
BS,GAMBARA - ASM,15,via Fiesse,1603746,5011956,47.7,,,2,,,,,,42.5,,,,,,,,40.28,40.3,40.3,40.3,,40.3,39.5,41.7,,,,,,,,
BS,REMEDELLO - ARPA,30,VIA L. DA VINCI (REMEDELLO SOPRA),1607659,5014579,45.5,,,,,,,,,,45.22,,,,,,,,,,,,,,,,,,,,,,
MN,ASOLA,4,Comune,1610990,5008890,41.5,,X,3,,,,,,,34.04,33.6,33.7,33.9,34.58,34.96,34.99,34.37,,34.3,34.9,,,,31.7,31.36,,,,31,30.88,,
MN,CASALROMANO,23,via del Dosso 18 - Fontanella Grazioli,1604660,5005280,37.90000153,,,2,,,,,,,31.59,29.1,32.5,30.67,31.05,31.29,31.4,31.4,,31.35,31.35,,29.7,,30.7,29.9,,,,,,,
MN,CASALROMANO,25,Gerelli Irene,1607280,5005820,37.8,,,2,,,,,,,33.39,31.6,29.5,33.06,33.52,33.58,33.72,34,,,,,,,,33.8,,,,,,,
MN,CASALROMANO,24,via IV Novembre (vicino al pensile),1607830,5006280,37.70000076,,X,3,,,,,,,31.88,30.4,31.9,29.99,32.07,32.98,30.83,32.7,,33.3,32.87,,31.9,,32,32.9,,,,32.22,32.7,,
CR,ISOLA DOVARESE,19053.0002,via Fornace,1602524.875,5002716,38,,X,3,,,,,,,,,,,32.11,32.17,32.13,31.73,31.99,32.07,31.94,32.27,32.37,,,,,,,32.68,32.8,32.78,
BS,LONATO - ASM,19,Fenil Nuovo,1615024,5035985,159.5,,,2,,,,,,89.95,89.75,90.95,91.85,,,,,89.43,,87.7,86.4,87.79,88.09,89.4,91.35,91.7,,,,90.65,,,
BS,LONATO - ASM,47,Centenaro,1621050,5031077,103.1,,X,,,,,,,64.7,59.2,58.6,59.4,,,,,64.62,,63.81,63.43,63.07,60.45,59.35,63.8,65.06,,,,65.07,,,
BS,LONATO - ASM,20,MADONNA DELLA SCOPERTA-NUOVO,1623515,5028075,104.57,,,,,,,,,66.17,60.67,60.07,60.87,,,,,,,,,,,,,,,,,,,,
MN,MONZAMBANO,70,Tosi Giovanni,1631850,5023970,110.2,,,1,,,,,,,96.79,98.7,97.2,96.53,98.08,97.89,96.27,96.8,,96.8,97.2,,96.35,97.4,,97.4,,,,98.5,97.4,97.2,
MN,CAVRIANA,37,Bassignani Cave s.n.c.,1625500,5020470,61.2,,,1,,,,,,,46.77,47,46.4,48.98,46.69,47.83,47.47,46.95,,,,,,,,47.7,,,,47.7,47.1,46.6,
MN,CAVRIANA,35,via Tezze 8pozzo 1),1625630,5021740,77,,X,2,,,,,,,54.02,52,53.5,57.24,55.13,56.18,56.07,43.68,,,54.5,,,,,55.52,,,,,,,
MN,CAVRIANA,36,TURATI ALESSANDRO,1625900,5025260,122,,,,,,,,,,,106,,106.42,106.58,106.52,104.83,,,,,,,,,,,,,,,,
MN,GUIDIZZOLO,55,Cobelli Luigi,1622460,5020780,73.2,,,2,,,,,,,56.5,56,56.7,57.62,56.26,55.96,57.16,56.45,,56.28,56.5,56.05,57.4,,,,,,,57,56.7,56.7,
BS,ACQUAFREDDA - ASM,3,VIA 1 MAGGIO,1610842,5018188,56.2,,,,,,,,,53.1,,,,,,,,,,,,,,,,,,,,,,,
MN,ASOLA,4,Comune,1610990,5008890,41.5,,X,3,,,,,,,34.04,33.6,33.7,33.9,34.58,34.96,34.99,34.37,,34.3,34.9,,,,31.7,31.36,,,,,,,
MN,REDONDESCO,84,via Bologne (vicino al pensile),1618690,5003540,33,,X,3,,,,,,,29.9,29.9,29.7,29.8,29.73,29.99,29.99,29.9,,29.98,30,,30,,29.8,29.47,,,,29.27,29.47,29.47,
MN,CASTELLUCCHIO,31,vai Matteotti 23,1629710,5000790,27.79999924,,X,3,,,,,,,,26.4,26.45,26.34,26.49,26.78,25.49,26.6,,26.7,26.7,,26.6,26.4,,26.55,,,,,,,
MN,MARCARIA,62,Trofelli Giudo,1627770,4991910,23.1,,,1,,,,,,,20.5,20.2,19.3,20.2,20.28,20.09,,,,,,,,,,20.55,,,,,,,
MN,ROVERBELLA,89,via Giulio Romano 12,1641740,5013610,36.5,,,1,,,,,,,35.18,35.4,35.2,35.19,35.16,35.14,34.94,35.14,,34.95,34.95,,35.3,35.2,,35.1,,,,,,,
MN,BIGARELLO,12,Sol S.p.a.,1650940,5005680,24.5,,,3,,,,,,,22.48,22.1,22.1,22.23,22.13,22.43,22.46,22.2,,22.36,22.35,,22.15,22.18,,22.25,,,,22.68,22.45,22.3,
MN,CASTEL D'ARIO,27,v.le delle Industrie - Roppi,1655220,5005120,21,,,2,,,,,,,12,18.6,18.8,18.7,18.87,19.48,19.18,18.55,,19.9,19.8,,19.6,19,,20,,,,,,,
MN,OSTIGLIA,76,via San Romano Casetto 40/A,1667790,4994100,13.60000038,,,2,,,,,,,12,11.6,11.2,10.7,11.2,4.56,11,10.7,,,,,,,,11.82,,,,12.1,11.85,11.3,
MN,CURTATONE,42,SARZI AMADE' ANTONIO,1633980,5000510,23.5,,,,,,,,,,18.16,18.4,18.4,18.18,18.38,18.24,18.02,,,,,,,,,,,,,,,,
MN,CURTATONE,45,via Donatori sangue,1639420,4998740,26.5,,,1,,,,,,,20.53,20.6,20.4,20.47,20.38,20.22,20.17,20,,20.08,20.35,,20.49,,,17.3,,,,20.9,20.3,17.2,
MN,SAN BENEDETTO PO,92,via Campasso - Portiolo,1646150,4989260,15,,,2,,,,,,,13.4,13.35,12.6,12.66,13.12,12.76,12.4,11.78,,12.2,12.2,,12.3,,,13.1,,,,,,,
MN,SAN BENEDETTO PO,93,via Crociare - Portiolo,1646180,4989600,16.29999924,,,3,,,,,,,,13.6,13.1,13.05,13.28,13.16,12.7,12.19,,12.75,12.65,,13.8,13.6,,13.7,,,,13.95,13.28,13.05,
MN,GONZAGA,54,Grecav Officine S.p.a.,1642920,4979930,20.1,,X,3,,,,,,,16.85,17.3,17.1,16.45,16.56,16.96,16.22,16.5,,,,,,,,17.1,,,,16.95,17.2,16.85,
MN,GONZAGA,53,via degli Arduini 22 - Bondeno,1646490,4978450,19,,,1,,,,,,,16.52,17,17,15.96,16.69,15.87,15.97,16.8,,17,17,,17,17.1,,16.8,,,,,,,
MN,QUINGENTOLE,81,Zona Artigianale Gabbiana,1660760,4988860,13.10000038,,X,3,,,,,,,11.5,11.1,11,10.9,10.87,10.97,11.08,10.25,,10.35,10.4,,10.9,10.31,,10.96,,,,11,10.6,10.66,
MN,SAN GIACOMO DELLE SEGNATE,94,piazza Martiri di belfiore 77,1660530,4981750,16.60000038,,,1,,,,,,,12.42,12.1,11.9,11.78,12.03,11.81,11.75,10.8,,11.82,12.1,,12.45,12.04,,12,,,,,,,
MN,SAN GIOVANNI DOSSO,96,Comune,1664380,4982600,14,,X,3,,,,,,,10.02,9.6,9.6,9.46,9.47,9.28,9.27,9,,,,,,,,9.6,,,,,,,
MN,REVERE,85,via Smerrieri 4,1667680,4989800,14.5,,,1,,,,,,,12,9.4,11,11.28,10.89,11.07,10.48,10.05,,10.7,10.55,,11.45,11.6,,11.6,,,,,,,
MN,BORGOFRANCO SUL PO,15,Residenza alla Pace,1673730,4991070,13.6,,,2,,,,,,,10.34,9.9,9.4,9.44,9.37,9.17,9.16,8.85,,,,,,,,9.9,,,,,,,
