PROV,COMUNE - DENOMINAZIONE,CODICE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,gen-01,feb-01,mar-01,apr-01,mag-01,giu-01,lug-01,ago-01,set-01,ott-01,nov-01,dic-01,gen-02,feb-02,mar-02,apr-02,mag-02,giu-02,lug-02,ago-02,set-02,ott-02,nov-02,dic-02,gen-03,feb-03,mar-03,apr-03,INZ_FLT,FIN_FLT,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A,FLT3_DA,FLT3_A,FLT4_DA,FLT4_A,FLT5_DA,FLT5_A,FLT6_DA,FLT6_A,FLT7_DA,FLT7_A,FLT8_DA,FLT8_A,FLT9_DA,FLT9_A,FLT10_DA,FLT10_A,FLT11_DA,FLT11_A,FLT12_DA,FLT12_A,L.S. ,L.D. ,Q,ANNO,PROFONDITA' COLONNA
BG,MISANO GERA D'ADDA - Amministrazione Comunale,161350001,via Garibaldi,1548577,5035708,104.1,,X,2,,,,,,101.47,101.68,102.01,102.26,101.82,101.47,101.18,100.98,100.69,100.88,100.5,,101.63,101.85,102.26,102.09,101.69,101.27,101.9,100.5,100.86,100.58,100.38,101.33,49,70,49,61,64,70,,,,,,,,,,,,,,,,,,,,,2.3,3,40,1974,82
BG,PAGAZZANO - Arrigoni S.p.a.,161540946,"via Morengo, 31",1552647,5042405,124.1,,,,,,,,,119.62,119.62,120.27,121.3,121.1,120.62,120.29,119.7,118.78,118.69,118.15,,118.2,,120.12,120.8,120.59,120.1,121.4,120.85,120.15,119.6,118.86,118.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,CHIEVE,19029.0001,via Zaninelli,1548491.25,5021128.5,78,,X,3,,,,,,,,,,,20.21,20.37,20.43,,,20.53,,,,,,,,,,,,,,148,157,148,157,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5
CR,RIPALTA CREMASCA,19081.0002,Loc. Zappello,1554044,5020362,76,,X,1,,,,,,,,,,,57.26,57.26,57.12,,,56.85,,,,,,,,,,,,,,137,149,137,149,,,,,,,,,,,,,,,,,,,,,,,,,,,160
BG,BOLGARE - Lartigianabottoni S.p.a.,160281385,"via Papa Giovanni XXIII, 26",1563060,5053915,199,,X,2,,,,,,162.25,162,,,,161.3,160.56,159.5,157.53,157.66,158.37,,161.37,162.4,163.72,164.33,163.68,162.35,162.1,165.18,,162.16,160.49,158.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
BG,GORLE - Tintex S.p.a.,161150118,"via Celadina, 2",1555493,5060225,261.5,,X,2,,,,,,,,,,,,,,211.02,211.27,211.54,,214.42,214.64,215.35,215.48,214.35,213.3,214.36,215.8,213.2,212.74,211.94,211.83,56,68,56,68,,,,,,,,,,,,,,,,,,,,,,,50,50.5,10.8,1975,70.5
BG,GRASSOBBIO - Cava delle Capannelle S.r.l.,161170112,"via Capannelle, 19",1557640,5053380,195.1,,X,2,,,,,,161.12,162.15,163.36,162.89,161.5,160.76,159.73,158.07,156.8,155.67,156.08,,159.88,161.02,162.63,163.19,162.13,160.87,161.42,164.05,161.23,160.42,158.51,157.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
BG,PALOSCO - Comarmi S.n.c.,161573378,"Via Bergamo, 1",1564618,5049592,160,,,,,,,,,151.38,150.44,150.53,,150.3,150.64,149.87,149.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PALOSCO - Valtulini Giacomo,161573380,C.na Gritti,1564511,5046783,149.2,,X,1,,,,,,,,,,,,,,136.95,134.74,134.85,,136.55,136.61,137.53,137.85,137.37,136.95,137.3,137.85,136.1,136.72,135.97,135.35,16.58,48.5,16.58,48.5,,,,,,,,,,,,,,,,,,,,,,,15.2,,,1990,51.5
BG,CIVIDATE AL PIANO - Acciaieria di Cividate S.p.a. ,160731283,Loc. Motta Alta,1565706,5042165,131.2,,X,MISTA 2/3,,,,,,190.91,191.72,192.33,191.57,189.66,188.82,187.15,185.77,120.9,120.9,120.83,,121.84,121.9,122.43,122.5,122.06,121.67,122.7,120.55,121.1,121.39,121.02,121.03,51.48,82,51.48,82,,,,,,,,,,,,,,,,,,,,,,,10,19,65,,82
BG,ISSO - Boieri Luigi-Clariant S.p.a. (Archimica),161220512-161220144,C.na Secchi-S.S. 11 - Padana Superiore,1557501,5036628,104.6,,,,,,,,,103.15,,,102.2,102.2,102.21,102.21,102.21,101,101.36,101.05,,101.36,101.16,101.3,101.31,101.33,101.2,102.1,98.9,100.8,101.12,101.01,101.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,MARTINENGO - Stamperia di Martinengo S.r.l.,161330158,"via Pinetti, 44",1559095,5046594,150.7,,,2,,,,,,147.05,146.76,147.12,147.18,147.19,147,146.75,147.39,146.33,146.22,146.35,,147.04,147.06,147.33,147.55,147.39,147.07,147.95,147.7,147.48,146.92,146.61,146.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,PUMENENGO - Amministrazione Comunale,161770001,"viale Europa, 9",1567778,5036490,110.4,,,,,,,,,100.22,101.73,101.91,102.1,100.88,100.2,100,99.9,99.28,99.25,99.1,,100.91,101.37,101.39,100.99,100.36,100.02,100.55,99.75,99.85,99.51,99.21,100.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,FIESCO,19043.0003,via F. Noli,1561257.5,5020927,72,,X,3,,,,,,,,,,,27.02,26.77,26.78,,,26.69,,,,,,,,,,61.83,61.82,61.74,,133,154,133,154,,,,,,,,,,,,,,,,,,,,,,,,,,,201
CR,IZANO,19054.0003,via Zanesa,1558392.375,5022772,77,,X,3,,,,,,,,,,,32.11,32.17,32.13,31.73,31.99,32.07,31.94,32.27,32.37,,,,,,,,,,,128,134,128,134,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5
CR,MADIGNANO,19055.0002,via Dante,1556531.875,5021341,72,,X,3,,,,,,,,,,,68.31,68.2,68.15,,,67.86,,,,,,,,,,,,,,141,147,141,147,,,,,,,,,,,,,,,,,,,,,,,,,,,166
CR,ROMANENGO,19086.0005,via XX Settembre,1561466.875,5025607.5,82,,X,3,,,,,,,,,,,67.41,67.41,67.25,,,67.06,,,,,,,,,,,,,,128,131,128,131,,,,,,,,,,,,,,,,,,,,,,,,,,,140
CR,ANNICCO,19003.0005,via A. da Brescia,1569250.375,5010522,60,,X,2,,,,,,,,,,,,,,,204.4,,,,,,,,,,,,,,,103.4,116.9,103.4,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,122
CR,PIZZIGHETTONE,19076.0006,via Stadio,1562536.875,5004476.5,46,,X,3,,,,,,,,,,,34,34,34,34.51,34.51,34.51,34.51,34.51,34.51,,,,,,,44.96,44.86,44.88,,121,129,121,129,,,,,,,,,,,,,,,,,,,,,,,,,,,182
CR,POZZAGLIO,19077.0001,via bongiovanni,1582847,5005656,50,,X,3,,,,,,,,,,,44.41,44.36,44.29,44,44.22,44.01,43.94,43.98,43.93,,,,,,,38.37,38.32,38.35,,181.2,194.9,181.2,194.9,,,,,,,,,,,,,,,,,,,,,,,,,,,201
CR,RIPALTA ARPINA,19080.0002,via Capitani,1557143.875,5016713.5,65,,X,3,,,,,,,,,,,37.57,37.62,37.62,37.56,37.38,37.46,37.23,37.62,37.67,,,,,,,,,,,168,180,168,180,,,,,,,,,,,,,,,,,,,,,,,,,,,189
CR,SAN BASSANO ,19088.0003,p.zza Kennedy,1563511.125,5010176,58,,X,3,,,,,,,,,,,82,82,82,,,82.47,,,,,,,,,,,,,,130,138,130,138,,,,,,,,,,,,,,,,,,,,,,,,,,,204
CR,CINGIA DE' BOTTI,19031.0003,via Pievetta,1600202,4993266.5,30,,X,3,,,,,,,,,,,70.74,70.72,70.54,,,70.33,,,,,,,,,,,,,,154,160.5,154,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,187.5
CR,MALAGNINO,19056.0003,via Stazione,1587474.25,4998750,40,,X,2,,,,,,,,,,,68.61,68.55,68.41,,,68.44,,,,,,,,,,,,,,131.5,134.5,131.5,134.5,,,,,,,,,,,,,,,,,,,,,,,,,,,164
CR,SAN DANIELE PO,19089.0002,via XXV Aprile,1592744.125,4990492.5,35,,X,3,,,,,,,,,,,46.83,46.76,46.73,,,46.3,,,,,,,,,,,,,,168,180,168,180,,,,,,,,,,,,,,,,,,,,,,,,,,,189
CR,SCANDOLARA RAVARA,19092.0004,via Chiesa,1602689.75,4989718.5,30,,X,2,,,,,,,,,,,24.02,24.01,24.06,,,23.97,,,,,,,,,,27,26.79,26.88,,68.5,77.5,68.5,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5
MN,BOZZOLO,17,COMUNE,1616760,4995900,27.3,,,,,,,,,,22.48,22.1,22.1,22.23,22.13,22.43,22.46,22.2,,22.36,22.35,,22.15,22.18,,22.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,GAZZUOLO,49,ITALGAS (VIADANA),1624010,4992410,23.5,,,,,,,,,,,26.4,26.45,26.34,26.49,26.78,25.49,26.6,,26.7,26.7,,26.6,26.4,,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,SAN MARTINO,97,Belletti Guglielmo,1619010,4994120,26.8,,X,3,,,,,,,10.02,9.6,9.6,9.46,9.47,9.28,9.27,9,,,,,,,,9.6,,,,24.28,24.05,23.96,,154,163,154,163,,,,,,,,,,,,,,,,,,,,,,,,,,1993,210
CR,CAPPELLA DE' PICENARDI,19014.0001,via Cavour,1596934,5001321,42,,X,3,,,,,,,,,,,46.3,46.36,46.21,,,46.09,,,,,,,,,,,,,,153.6,163.1,153.6,163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,169
CR,GRONTARDO,19050.0002,Fraz. Levata,1589592,5006001,47,,X,3,,,,,,,,,,,61.83,61.77,61.63,61.54,61.71,61.52,61.42,61.57,61.52,,,,,,,,,,,156.5,169,156.5,169,,,,,,,,,,,,,,,,,,,,,,,,,,,179
CR,ISOLA DOVARESE,19053.0002,via Fornace,1602524.875,5002716,38,,X,3,,,,,,,,,,,21.74,21.76,21.72,,,22.07,,,,,,,,,,32.68,32.8,32.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,PESCAROLO 3,19069.0003,Loc. Palestra,1593492,5005268.5,45,,X,3,,,,,,,,,,,75.98,76.14,75.59,,,75.65,,,,,,,,,,,,,,167,192,167,192,,,,,,,,,,,,,,,,,,,,,,,,,,,192.5
CR,Pescarolo 4,,Loc. Palestra,1593527.875,5005190.5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,PIADENA,19071.0003,via Bassa,1607835.25,4998399.5,34,,X,3,,,,,,,,,,,34.06,34.16,33.96,,,,,,,,,,,,,,34.12,34.11,,158.5,172,158.5,172,,,,,,,,,,,,,,,,,,,,,,,,,,,181.5
CR,TORNATA,19106.0003,via della Pace,1612703.125,4995678,29,,X,3,,,,,,,,,,,24,24,24,24.4,24.4,24.4,24.4,23.83,23.81,,,,,,,,,,,91.5,109,91.5,109,,,,,,,,,,,,,,,,,,,,,,,,,,,158
CR,CASALMAGGIORE 8,19021.0008,Vicomoscano,1613736.375,4981155.5,26,,X,2,,,,,,,,,,,84.22,84.12,84.06,83.96,83.99,83.82,83.77,84.12,84.1,,,,,,,,,,,138,142,138,142,,,,,,,,,,,,,,,,,,,,,,,,,,,165
CR,GUSSOLA,19052.0004,via Bergamonti,1606756,4984844,26,,X,2,,,,,,,,,,,35.72,35.85,35.88,,,35.72,,,,,,,,,,,,,,74.4,77.4,74.4,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,177
